srcNodeId	srcNodeType	dstNodeId	dstNodeType	rel	wallTime	hasUserGesture	method	referrerPolicy	windowName	type
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	c55dc3b5b6dcf364ae2439ab739edb66	Resource	request	1763087185.18669	False	GET	same-origin		
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	44_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	45_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	46_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	47_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	48_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	49_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	50_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	51_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	52_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	53_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	54_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	55_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	56_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	57_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	58_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	59_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	60_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	61_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	62_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	2523ca6ff748cf997a035598e973e6ee	Window	open					_blank	
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	64_77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Script	compile						
77BD191BAAE37257C019E8F00AA56084_92B1801E5A2CB6C863EB8F1FA341BA37	Frame	77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	navigate						Navigation
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	5_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	6_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	7_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	8_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	9_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
